chr22	12365678	12375616	2	2	0	0	1	33
chr22	15608496	15645479	2	2	0	1	0	33
chr22	18547374	18548010	2	2	1	0	1	10
chr22	18548470	18548669	2	2	1	0	1	4
chr22	18900391	18900585	2	2	0	0	1	16
chr22	18913363	18913437	2	2	1	1	0	17
chr22	18919799	18921341	2	2	1	1	0	42
chr22	18922934	18925050	2	2	1	1	0	11
chr22	19820724	19821227	2	2	1	1	0	42
chr22	19854540	19854819	2	2	1	1	0	48
chr22	19964300	19968535	1	1	1	1	0	12
chr22	20139636	20139719	1	1	1	1	0	10
chr22	20314825	20315335	2	2	1	1	0	13
chr22	20726542	20727229	2	2	1	1	0	23
chr22	20727865	20729312	2	2	1	1	0	21
chr22	20733099	20733735	2	2	1	0	1	10
chr22	20734195	20734394	2	2	1	0	1	4
chr22	20988119	20988788	1	1	1	1	0	42
chr22	20990526	20991627	1	1	1	1	0	47
chr22	21486928	21487564	2	2	1	0	1	10
chr22	21488024	21488223	2	2	1	0	1	4
chr22	21788389	21788693	2	2	1	1	0	29
chr22	21799129	21805849	2	2	1	1	0	32
chr22	21883581	21883629	2	2	0	1	0	41
chr22	26544676	26590052	2	2	1	1	0	40
chr22	28038098	28088091	1	1	0	0	1	45
chr22	29296369	29297826	1	1	1	1	0	29
chr22	29298896	29299233	1	1	1	1	0	7
chr22	30137387	30137606	0	0	1	1	0	36
chr22	30578999	30579136	2	2	1	1	0	32
chr22	31099897	31100884	1	1	1	1	0	14
chr22	31283289	31289498	2	2	1	1	0	19
chr22	31289394	31289498	2	2	1	1	0	22
chr22	31420426	31423279	1	1	1	1	0	30
chr22	31426783	31427059	1	1	1	1	0	13
chr22	32802123	32849451	1	1	1	1	0	46
chr22	35299981	35317876	1	1	1	1	0	28
chr22	36295077	36295504	2	2	1	1	0	28
chr22	36295718	36296842	2	2	1	2	0	47
chr22	36299043	36300126	2	2	1	1	0	10
chr22	36304156	36305032	2	2	1	1	0	30
chr22	36306052	36306413	2	2	1	1	0	17
chr22	37326001	37347209	2	2	0	0	1	18
chr22	37466816	37515349	1	1	0	1	0	24
chr22	37639847	37641125	1	1	1	1	0	43
chr22	37641169	37641373	1	1	1	1	0	5
chr22	37644961	37645364	1	1	1	1	0	46
chr22	37645511	37646817	1	1	1	1	0	13
chr22	37726504	37733297	1	1	1	1	0	43
chr22	37849483	37850014	1	1	1	1	0	13
chr22	37850064	37851279	1	1	1	1	0	39
chr22	37851491	37855564	1	1	1	1	0	44
chr22	38490437	38492055	2	2	1	1	0	34
chr22	38493772	38494020	2	2	1	1	0	25
chr22	38498151	38498439	2	2	1	1	0	32
chr22	38498574	38499399	2	2	1	1	0	14
chr22	38501281	38505950	2	2	1	1	0	6
chr22	38726441	38727212	1	1	1	1	0	21
chr22	38738755	38738872	2	2	1	1	0	26
chr22	38739427	38739721	2	2	1	1	0	35
chr22	39307802	39354768	1	1	0	1	0	24
chr22	39314209	39314685	2	2	1	2	0	36
chr22	39314847	39315368	2	2	1	2	0	38
chr22	39315556	39316705	2	2	1	1	0	13
chr22	39316842	39317460	2	2	1	1	0	36
chr22	39318593	39319594	2	2	1	1	0	8
chr22	40774020	40777039	2	2	1	1	0	34
chr22	40865606	40901377	1	1	0	0	1	22
chr22	41002210	41007488	2	2	0	0	1	26
chr22	41005426	41046744	2	2	0	0	1	26
chr22	41098443	41129081	1	1	0	0	1	41
chr22	41289005	41298396	2	2	0	0	1	14
chr22	41523942	41524845	1	1	1	1	0	11
chr22	41525349	41526261	1	1	1	1	0	42
chr22	41647083	41650722	1	1	1	2	0	14
chr22	41650892	41653528	1	1	1	1	0	23
chr22	41878124	41880715	1	1	1	1	0	33
chr22	41885012	41893116	1	1	1	2	0	42
chr22	41893286	41894819	1	1	1	1	0	9
chr22	41897162	41898648	1	1	1	1	0	20
chr22	41948952	41949131	2	2	0	0	1	45
chr22	42082066	42083118	1	1	1	1	0	18
chr22	42512996	42514105	2	2	1	2	0	44
chr22	42587573	42591954	2	2	1	1	0	8
chr22	42595615	42596185	2	2	1	1	0	20
chr22	43076354	43095004	1	1	0	1	0	21
chr22	50208305	50242166	2	2	0	0	1	31
chr22	50288872	50288959	2	2	1	1	0	23
chr22	50459667	50459951	2	2	1	1	0	47
chr22	50460160	50460271	2	2	1	1	0	33
chr22	50460409	50460533	2	2	1	1	0	33
chr22	50462718	50462869	2	2	1	1	0	30
chr22	50462939	50463282	2	2	1	1	0	6
chr22	50463433	50464328	2	2	1	1	0	21
chr22	50504728	50504801	2	2	1	1	0	23
chr22	50505154	50505228	2	2	1	1	0	47
chr22	50579508	50579726	2	2	1	1	0	19
